SG,Tony Snell (16337264),Tony Snell,16337264,SG/G/UTIL,3500,TOR@ATL 02/06/2021 08:00PM ET,ATL,6.18
SF/PF,Solomon Hill (16337286),Solomon Hill,16337286,SF/PF/F/UTIL,3500,TOR@ATL 02/06/2021 08:00PM ET,ATL,11.01
C,Willie Cauley-Stein (16337240),Willie Cauley-Stein,16337240,C/UTIL,3500,GS@DAL 02/06/2021 08:30PM ET,DAL,14.59
PG,Brad Wanamaker (16337258),Brad Wanamaker,16337258,PG/G/UTIL,3500,GS@DAL 02/06/2021 08:30PM ET,GS,12.74
C,Ed Davis (16337225),Ed Davis,16337225,C/UTIL,3500,MIN@OKC 02/06/2021 08:00PM ET,MIN,13.03
SF,Jarrett Culver (16337253),Jarrett Culver,16337253,SF/F/UTIL,3500,MIN@OKC 02/06/2021 08:00PM ET,MIN,17.59
SG/SF,Bruce Brown (16337242),Bruce Brown,16337242,SG/SF/F/G/UTIL,3500,BKN@PHI 02/06/2021 08:00PM ET,BKN,14.58
SF/PF,Yuta Watanabe (16337270),Yuta Watanabe,16337270,SF/PF/F/UTIL,3400,TOR@ATL 02/06/2021 08:00PM ET,TOR,10.47
PG/SG,Terence Davis (16337274),Terence Davis,16337274,PG/SG/G/UTIL,3400,TOR@ATL 02/06/2021 08:00PM ET,TOR,12.42
PG/SG,Brandon Goodwin (16337290),Brandon Goodwin,16337290,PG/SG/G/UTIL,3400,TOR@ATL 02/06/2021 08:00PM ET,ATL,9.33
SF,Pat Connaughton (16337250),Pat Connaughton,16337250,SF/F/UTIL,3400,MIL@CLE 02/06/2021 08:00PM ET,MIL,15.40
C,Kevon Looney (16337256),Kevon Looney,16337256,C/UTIL,3400,GS@DAL 02/06/2021 08:30PM ET,GS,12.44
PF,James Johnson (16337298),James Johnson,16337298,PF/F/UTIL,3400,GS@DAL 02/06/2021 08:30PM ET,DAL,15.82
C,Marc Gasol (16337278),Marc Gasol,16337278,C/UTIL,3400,DET@LAL 02/06/2021 10:00PM ET,LAL,15.27
SG,Jaylen Nowell (16337280),Jaylen Nowell,16337280,SG/G/UTIL,3400,MIN@OKC 02/06/2021 08:00PM ET,MIN,14.84
SF,Josh Okogie (16337283),Josh Okogie,16337283,SF/F/UTIL,3400,MIN@OKC 02/06/2021 08:00PM ET,MIN,13.19
SG/SF,Torrey Craig (16337313),Torrey Craig,16337313,SG/SF/F/G/UTIL,3300,MIL@CLE 02/06/2021 08:00PM ET,MIL,9.36
C,Dwight Powell (16337322),Dwight Powell,16337322,C/UTIL,3300,GS@DAL 02/06/2021 08:30PM ET,DAL,13.42
SG/SF,Devin Vassell (16337308),Devin Vassell,16337308,SG/SF/F/G/UTIL,3300,SA@HOU 02/06/2021 08:00PM ET,SA,14.56
PG/SG,Alex Caruso (16337294),Alex Caruso,16337294,PG/SG/G/UTIL,3300,DET@LAL 02/06/2021 10:00PM ET,LAL,13.61
C,Isaiah Stewart (16337306),Isaiah Stewart,16337306,C/UTIL,3300,DET@LAL 02/06/2021 10:00PM ET,DET,15.66
SF/PF,Saddiq Bey (16337318),Saddiq Bey,16337318,SF/PF/F/UTIL,3300,DET@LAL 02/06/2021 10:00PM ET,DET,13.98
